sample_file,business_id,financial_date,concept,context_ref,unit_ref,decimals,value_kind,raw_value,period_type,period_start,period_end,instant_date,dimensions_count,financial_line_members
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:si168,_ctx1,,,text,H. Kuokkasen Peruukkiliike Oy,instant,,,2024-10-31,0,
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:di120,_ctx1,,,text,2023-11-01,instant,,,2024-10-31,0,
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:di121,_ctx1,,,text,2024-10-31,instant,,,2024-10-31,0,
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:si289,_ctx1,,,text,0104539-0,instant,,,2024-10-31,0,
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx64,ISO4217_EUR,2,numeric,96423.82,instant,,,2024-10-31,1,fi_MC:x1742
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx207,ISO4217_EUR,2,numeric,96423.82,instant,,,2023-10-31,2,fi_MC:x1742
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx65,ISO4217_EUR,2,numeric,96423.82,instant,,,2024-10-31,1,fi_MC:x583
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx208,ISO4217_EUR,2,numeric,96423.82,instant,,,2023-10-31,2,fi_MC:x583
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx66,ISO4217_EUR,2,numeric,96423.82,instant,,,2024-10-31,1,fi_MC:x513
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx209,ISO4217_EUR,2,numeric,96423.82,instant,,,2023-10-31,2,fi_MC:x513
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx67,ISO4217_EUR,2,numeric,338047.03,instant,,,2024-10-31,1,fi_MC:x1757
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx210,ISO4217_EUR,2,numeric,341085.34,instant,,,2023-10-31,2,fi_MC:x1757
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx72,ISO4217_EUR,2,numeric,338047.03,instant,,,2024-10-31,1,fi_MC:x807
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx215,ISO4217_EUR,2,numeric,341085.34,instant,,,2023-10-31,2,fi_MC:x807
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx82,ISO4217_EUR,2,numeric,47893.51,instant,,,2024-10-31,1,fi_MC:x1769
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx225,ISO4217_EUR,2,numeric,32497.89,instant,,,2023-10-31,2,fi_MC:x1769
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx86,ISO4217_EUR,2,numeric,17.81,instant,,,2024-10-31,1,fi_MC:x1771
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx229,ISO4217_EUR,2,numeric,0.00,instant,,,2023-10-31,2,fi_MC:x1771
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx87,ISO4217_EUR,2,numeric,6362.75,instant,,,2024-10-31,1,fi_MC:x1775
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx230,ISO4217_EUR,2,numeric,4149.05,instant,,,2023-10-31,2,fi_MC:x1775
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx88,ISO4217_EUR,2,numeric,54274.07,instant,,,2024-10-31,1,fi_MC:x1768
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx231,ISO4217_EUR,2,numeric,36646.94,instant,,,2023-10-31,2,fi_MC:x1768
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx89,ISO4217_EUR,2,numeric,54274.07,instant,,,2024-10-31,1,fi_MC:x438
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx232,ISO4217_EUR,2,numeric,36646.94,instant,,,2023-10-31,2,fi_MC:x438
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx94,ISO4217_EUR,2,numeric,95427.06,instant,,,2024-10-31,1,fi_MC:x399
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx237,ISO4217_EUR,2,numeric,131499.99,instant,,,2023-10-31,2,fi_MC:x399
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx95,ISO4217_EUR,2,numeric,487748.16,instant,,,2024-10-31,1,fi_MC:x435
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx238,ISO4217_EUR,2,numeric,509232.27,instant,,,2023-10-31,2,fi_MC:x435
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx96,ISO4217_EUR,2,numeric,584171.98,instant,,,2024-10-31,1,fi_MC:x360
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx239,ISO4217_EUR,2,numeric,605656.09,instant,,,2023-10-31,2,fi_MC:x360
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx97,ISO4217_EUR,2,numeric,11773.15,instant,,,2024-10-31,1,fi_MC:x4116
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx240,ISO4217_EUR,2,numeric,11773.15,instant,,,2023-10-31,2,fi_MC:x4116
samples/01__0104539-0__2024-10-31.xml,0104539-0,2024-10-31,fi_met:mi53,_ctx106,ISO4217_EUR,2,numeric,382214.33,instant,,,2024-10-31,1,fi_MC:x932
