line_item_code,line_item_label_fi,sample_file_count,business_count,fact_count,concepts,ref_members,example_values
fi_MC:x12,Rahoitustuotot ja -kulut + (-),10,9,20,"{""fi_met:md103"": 18, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 9}}","[""1690.15"", ""1692.36"", ""1370.47""]"
fi_MC:x1768,Lyhytaikaiset saamiset,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""54274.07"", ""36646.94"", ""0.00""]"
fi_MC:x1811,Lyhytaikainen vieras pääoma,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""133203.68"", ""99918.51"", ""12998.48""]"
fi_MC:x1825,Lyhytaikaiset muut velat,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""77900.37"", ""35582.08"", ""5031.23""]"
fi_MC:x1869,Liiketoiminnan muut kulut,10,9,20,"{""fi_met:md103"": 18, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 9}}","[""-92114.84"", ""-86794.46"", ""-24108.95""]"
fi_MC:x2895,"Tilikauden voitto (tappio), oma pääoma",10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""56980.82"", ""111750.78"", ""-6738.48""]"
fi_MC:x360,Vastaavaa,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""584171.98"", ""605656.09"", ""311091.32""]"
fi_MC:x376,Oma pääoma,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""450968.30"", ""505737.58"", ""213969.04""]"
fi_MC:x399,Rahat ja pankkisaamiset,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""95427.06"", ""131499.99"", ""269.14""]"
fi_MC:x4116,"Osake-, osuus- tai muu vastaava pääoma",10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""11773.15"", ""11773.15"", ""2522.82""]"
fi_MC:x424,Vieras pääoma,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""133203.68"", ""99918.51"", ""97122.28""]"
fi_MC:x435,Vaihtuvat vastaavat,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""487748.16"", ""509232.27"", ""36474.97""]"
fi_MC:x438,Saamiset,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""54274.07"", ""36646.94"", ""36205.83""]"
fi_MC:x481,Vastattavaa,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""584171.98"", ""605656.09"", ""311091.32""]"
fi_MC:x513,Pysyvät vastaavat,10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""96423.82"", ""96423.82"", ""274616.35""]"
fi_MC:x689,Liikevoitto (-tappio),10,9,20,"{""fi_met:md103"": 18, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 9}}","[""69535.22"", ""138134.89"", ""-8108.95""]"
fi_MC:x738,Voitto (tappio) ennen tilinpäätössiirtoja ja veroja,10,9,20,"{""fi_met:md103"": 18, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 9}}","[""71225.37"", ""139827.25"", ""-6738.48""]"
fi_MC:x740,Tilikauden voitto (tappio),10,9,20,"{""fi_met:md103"": 18, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 9}}","[""56980.82"", ""111750.78"", ""-6738.48""]"
fi_MC:x932,Edellisten tilikausien voitto (tappio),10,9,20,"{""fi_met:mi53"": 20}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 10}}","[""382214.33"", ""382213.65"", ""218184.70""]"
fi_MC:x1742,Muut osakkeet ja osuudet,9,8,18,"{""fi_met:mi53"": 18}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 9}}","[""96423.82"", ""96423.82"", ""4541.07""]"
fi_MC:x4046,Korkokulut- ja muut rahoituskulut muille kuin saman konsernin yrityksille,9,8,18,"{""fi_met:md103"": 16, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 8}}","[""-15.61"", ""-60.14"", ""-1426.63""]"
fi_MC:x583,Sijoitukset,9,8,18,"{""fi_met:mi53"": 18}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 9}}","[""96423.82"", ""96423.82"", ""273480.32""]"
fi_MC:x1819,Lyhytaikaiset ostovelat,8,7,16,"{""fi_met:mi53"": 16}","{""fi_RF:x4"": {""label_fi"": ""Tilikauden loppussa T-1"", ""count"": 8}}","[""2451.68"", ""3285.72"", ""191188.59""]"
fi_MC:x4014,Muut korko- ja rahoitustuotot muilta kuin saman konsernin yrityksiltä,8,8,16,"{""fi_met:md103"": 14, ""fi_met:mi53"": 2}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 7}}","[""18.26"", ""0.00"", ""0.01""]"
fi_MC:x673,Liikevaihto,8,7,16,"{""fi_met:md103"": 16}","{""fi_RF:x53"": {""label_fi"": ""Edellinen tilikausi T-1"", ""count"": 8}}","[""801301.28"", ""800484.80"", ""16000.00""]"
