code,sheet,row,row_text
fi_MC:x10,y-t05.01,13,Ulkopuoliset palvelut | R0110 | md103 (Tilikauden rahallinen kertymä) | fi_MC:x10 (Palvelujen ostot)
fi_MC:x10,y-t05.02,13,Ulkopuoliset palvelut | R0110 | md103 (Tilikauden rahallinen kertymä) | fi_MC:x10 (Palvelujen ostot) | fi_SC:x7 (Konsolidoitu)
fi_MC:x10,y-t05.05,14,Palvelujen ostot | R0100 | fi_MC:x10 (Palvelujen ostot)
fi_MC:x10,y-t05.06,14,Palvelujen ostot | R0100 | fi_MC:x10 (Palvelujen ostot)
fi_MC:x1036,y-t04.03,19,Koneet ja kalusto | R0150 | mi53 (Kirjanpitoarvo) | fi_MC:x1036 (Koneet ja kalusto)
fi_MC:x1036,y-t04.04,19,Koneet ja kalusto | R0150 | mi53 (Kirjanpitoarvo) | fi_MC:x1036 (Koneet ja kalusto)
fi_MC:x1036,y-t04.05,22,Koneet ja kalusto | R0180 | mi53 (Kirjanpitoarvo) | fi_MC:x1036 (Koneet ja kalusto)
fi_MC:x1036,y-t04.06,23,Koneet ja kalusto | R0190 | mi53 (Kirjanpitoarvo) | fi_MC:x1036 (Koneet ja kalusto)
fi_MC:x1117,y-t05.05,36,Arvonalentumiset pysyvien vastaavien sijoituksista | R0320 | fi_MC:x1117 (Arvonalentumiset pysyvien vastaavien sijoituksista)
fi_MC:x1117,y-t05.06,38,Arvonalentumiset pysyvien vastaavien sijoituksista | R0340 | fi_MC:x1117 (Arvonalentumiset pysyvien vastaavien sijoituksista)
fi_MC:x1117,y-t05.07,22,Arvonalentumiset pysyvien vastaavien sijoituksista | R0180 | fi_MC:x1117 (Arvonalentumiset pysyvien vastaavien sijoituksista)
fi_MC:x1117,y-t05.08,23,Arvonalentumiset pysyvien vastaavien sijoituksista | R0190 | fi_MC:x1117 (Arvonalentumiset pysyvien vastaavien sijoituksista)
fi_MC:x12,y-t05.01,31,Rahoitustuotot (-kulut) yhteensä | R0330 | md103 (Tilikauden rahallinen kertymä) | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.03,16,Rahoitustuotot (-kulut) yhteensä | R0130 | md103 (Tilikauden rahallinen kertymä) | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.04,16,Rahoitustuotot (-kulut) yhteensä | R0130 | md103 (Tilikauden rahallinen kertymä) | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.05,27,Rahoitustuotot ja -kulut + (-) | R0230 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.06,29,Rahoitustuotot ja -kulut + (-) | R0250 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.07,13,Rahoitustuotot ja -kulut + (-) | R0090 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.08,14,Rahoitustuotot ja -kulut + (-) | R0100 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.09,10,Rahoitustuotot ja -kulut + (-) | R0060 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.10,11,Rahoitustuotot ja -kulut + (-) | R0070 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
fi_MC:x12,y-t05.11,10,Rahoitustuotot ja -kulut + (-) | R0060 | fi_MC:x12 (Rahoitustuotot ja -kulut + (-))
