concept_qname,mcy_member_code,metric_code
fi_met:md103,fi_MC:x673,revenue
fi_met:md103,fi_MC:x689,operating_profit_loss
fi_met:md103,fi_MC:x740,profit_loss
fi_met:mi53,fi_MC:x360,total_assets
fi_met:mi53,fi_MC:x376,equity
fi_met:mi53,fi_MC:x424,liabilities
fi_met:mi53,fi_MC:x399,cash_and_bank
fi_met:mi53,fi_MC:x435,current_assets
fi_met:mi53,fi_MC:x1768,current_receivables
fi_met:mi53,fi_MC:x1811,current_liabilities
fi_met:md103,fi_MC:x5,personnel_expenses
fi_met:md103,fi_MC:x6,wages_and_salaries
