code,code_kind,namespace_hint,label_fi,label_en,label_sv,metric_name_hint,source_artifact,source_url
fi_AE:x0,member,http://www.suomi.fi/xbrl/crr/dict/dom/AE,Toteuma,Toteuma,Utfall,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ae/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AE:x1,member,http://www.suomi.fi/xbrl/crr/dict/dom/AE,Arvio,Arvio,Uppskattning,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ae/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AE:x2,member,http://www.suomi.fi/xbrl/crr/dict/dom/AE,Suunitelma,Suunitelma,Plan,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ae/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AE:x3,member,http://www.suomi.fi/xbrl/crr/dict/dom/AE,Ennuste,Ennuste,Prognos,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ae/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AI:x0,member,http://www.suomi.fi/xbrl/crr/dict/dom/AI,Kaikki aamu ja iltapäivätoiminnan ohjaustunnit,Kaikki aamu ja iltapäivätoiminnan ohjaustunnit,Alla handledningslektioner i morgon- och eftermiddagsverksamhet,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ai/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AI:x1,member,http://www.suomi.fi/xbrl/crr/dict/dom/AI,Perusopetuslain edellyttämä ohjaustuntimäärä (keskimäärin 3 tuntia/päivä),Perusopetuslain edellyttämä ohjaustuntimäärä (keskimäärin 3 tuntia/päivä),Timantal som förutsätts i lagen om grundläggande utbildning (i medeltal 3 timmar/dag),,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ai/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AI:x2,member,http://www.suomi.fi/xbrl/crr/dict/dom/AI,Perusopetuslain mukainen ohjaustuntimäärä (keskimäärin 4 tuntia/päivä),Perusopetuslain mukainen ohjaustuntimäärä (keskimäärin 4 tuntia/päivä),Timantalet enligt lagen om grundläggande utbildning (i medeltal 4 timmar/dag),,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ai/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_AI:x3,member,http://www.suomi.fi/xbrl/crr/dict/dom/AI,Laajempana toteutetussa oppilaiden aamu- ja iltapäivätoiminnassa annetut ohjaustunnit,Laajempana toteutetussa oppilaiden aamu- ja iltapäivätoiminnassa annetut ohjaustunnit,Timantalet enligt lagen om grundläggande utbildning (i medeltal 4 timmar/dag),,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ai/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_CT:S1,member,http://www.suomi.fi/xbrl/crr/dict/dom/CT,Koko kansantalous,Koko kansantalous,Totala ekonomin,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ct/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
fi_CT:S11,member,http://www.suomi.fi/xbrl/crr/dict/dom/CT,Yritykset,Yritykset,Icke-finansiella företag,,www.suomi.fi/fi/fr/xbrl/crr/dict/dom/ct/mem-lab-fi.xml,https://www.avoindata.fi/data/dataset/644a8ee5-1de5-4f9d-a7bf-ef5edfcb619a/resource/73c9a2f2-f440-491b-9098-c3b37b4b0f6e
